frame,V,ln V
0,13.714,2.618417209
60,13.272,2.585656553
120,12.472,2.523486132
180,11.726,2.461808599
240,11.203,2.4161816
300,10.542,2.355367278
360,9.923,2.294855295
420,9.344,2.234734426
480,8.801,2.174865351
540,8.292,2.115291195
600,7.814,2.055916997
660,7.364,1.996603263
720,7.045,1.952318145
780,6.643,1.893563669
840,6.262,1.834499623
900,5.906,1.775968783
960,5.568,1.717035923
1020,5.256,1.659370281
1080,4.958,1.601002434
1140,4.679,1.543084412
1200,4.411,1.484101421
1260,4.23,1.442201993
1320,3.994,1.384793235
1380,3.769,1.326809714
1440,3.559,1.269479607
1500,3.36,1.211940974
1560,3.173,1.154677513
1620,2.997,1.097611788
1680,2.873,1.05535678
1740,2.714,0.9984235614
1800,2.564,0.9415685391
1860,2.425,0.8858315244
1920,2.294,0.8302970187
2040,2.049,0.7173518693
2160,1.857,0.6189622824
2280,1.662,0.5080216964
2400,1.487,0.3967606675
2520,1.333,0.2874320412
2640,1.114,0.1079571415
2760,1.088,0.08434114843
2880,0.972,-0.02839947452
3000,0.866,-0.1438703704
3120,0.784,-0.2433462586
3360,0.644,-0.4400565529
3600,0.526,-0.6424540662
3840,0.429,-0.8462983601
4080,0.351,-1.046969056
4320,0.296,-1.217395825
4560,0.239,-1.431291727
4800,0.197,-1.62455155
5280,0.137,-1.987774353
5760,0.096,-2.343407088
6000,0.084,-2.47693848
